set	category	size	url	local_path	rationale
cv7000-structured-smoke	cv7000	2002944	https://downloads.openmicroscopy.org/images/CV7000/cpg0016/Dest21053D1-15214/Dest210531-152149_A01_T0001F001L01A01Z01C01.tif	external-fixtures/data/cv7000/downloads.openmicroscopy.org/cpg0016/Dest21053D1-15214/Dest210531-152149_A01_T0001F001L01A01Z01C01.tif	Targeted structured smoke set; matching acquisition-prefix TIFF payload.
czi-smoke	czi	43558848	https://downloads.openmicroscopy.org/images/Zeiss-CZI/idr0011/Plate1-Blue-A_TS-Stinger/Plate1-Blue-A-03-Scene-1-P1-D1-01.czi	external-fixtures/data/czi/downloads.openmicroscopy.org/idr0011/Plate1-Blue-A_TS-Stinger/Plate1-Blue-A-03-Scene-1-P1-D1-01.czi	Smallest public files for fast external smoke coverage.
czi-smoke	czi	43558848	https://downloads.openmicroscopy.org/images/Zeiss-CZI/idr0011/Plate1-Blue-A_TS-Stinger/Plate1-Blue-A-03-Scene-2-P3-D1-02.czi	external-fixtures/data/czi/downloads.openmicroscopy.org/idr0011/Plate1-Blue-A_TS-Stinger/Plate1-Blue-A-03-Scene-2-P3-D1-02.czi	Smallest public files for fast external smoke coverage.
czi-smoke	czi	43558848	https://downloads.openmicroscopy.org/images/Zeiss-CZI/idr0011/Plate1-Blue-A_TS-Stinger/Plate1-Blue-A-03-Scene-3-P2-D1-03.czi	external-fixtures/data/czi/downloads.openmicroscopy.org/idr0011/Plate1-Blue-A_TS-Stinger/Plate1-Blue-A-03-Scene-3-P2-D1-03.czi	Smallest public files for fast external smoke coverage.
czi-openslide-zeiss5-smoke	czi	52281408	https://openslide.cs.cmu.edu/download/openslide-testdata/Zeiss/Zeiss-5-Flat.czi	external-fixtures/data/czi/openslide.cs.cmu.edu/download/openslide-testdata/Zeiss/Zeiss-5-Flat.czi	Targeted OpenSlide Zeiss-5 smoke set; JPEG XR non-pyramidal CZI with two scenes.
czi-openslide-zeiss5-feature	czi	68811968	https://openslide.cs.cmu.edu/download/openslide-testdata/Zeiss/Zeiss-5-JXR.czi	external-fixtures/data/czi/openslide.cs.cmu.edu/download/openslide-testdata/Zeiss/Zeiss-5-JXR.czi	Targeted OpenSlide Zeiss-5 feature set; JPEG XR multi-subblock mosaic CZI with two scenes.
czi-openslide-zeiss5-feature	czi	80002752	https://openslide.cs.cmu.edu/download/openslide-testdata/Zeiss/Zeiss-5-Cropped.czi	external-fixtures/data/czi/openslide.cs.cmu.edu/download/openslide-testdata/Zeiss/Zeiss-5-Cropped.czi	Targeted OpenSlide Zeiss-5 feature set; cropped JPEG XR multi-subblock mosaic scenes.
czi-openslide-zeiss5-pyramid	czi	68811968	https://openslide.cs.cmu.edu/download/openslide-testdata/Zeiss/Zeiss-5-JXR.czi	external-fixtures/data/czi/openslide.cs.cmu.edu/download/openslide-testdata/Zeiss/Zeiss-5-JXR.czi	Targeted OpenSlide Zeiss-5 pyramid set; real CC0 JPEG XR pyramidal CZI using reduced stored X/Y sizes rather than R dimension levels.
czi-openslide-zeiss5-pyramid	czi	80002752	https://openslide.cs.cmu.edu/download/openslide-testdata/Zeiss/Zeiss-5-Cropped.czi	external-fixtures/data/czi/openslide.cs.cmu.edu/download/openslide-testdata/Zeiss/Zeiss-5-Cropped.czi	Targeted OpenSlide Zeiss-5 pyramid set; real CC0 cropped JPEG XR pyramidal CZI using reduced stored X/Y sizes rather than R dimension levels.
czi-synthetic-tile-smoke	czi	2585792	https://zenodo.org/records/7015307/files/S=2_2x2_CH=1.czi?download=1	external-fixtures/data/czi/zenodo.org/records/7015307/files/S=2_2x2_CH=1.czi	Targeted Zenodo synthetic tiled smoke set; small 2x2 tile CZI.
